# feature_gene,class_gene,start,end,strand,symbol,locus_tag,feature_interval_length,attributes_gene,# feature_product,class_product,product_accession_product,name_product,product_length_product,attributes_product
gene,protein_coding,758360,758470,-,,PP_0650,111,,CDS,with_protein,AAN66275.1,conserved protein of unknown function,36.0,
gene,protein_coding,758579,759028,+,,PP_0651,450,,CDS,with_protein,AAN66276.1,"Acetyltransferase, GNAT family",149.0,
gene,snoRNA,759603,759688,+,,PP_mr12,86,,ncRNA,snoRNA,,C4 ncRNA,,
gene,protein_coding,759862,760089,+,,PP_5453,228,,CDS,with_protein,AMM02786.1,conserved protein of unknown function,75.0,
gene,protein_coding,760154,761539,-,,PP_0652,1386,,CDS,with_protein,AAN66277.1,Gluconate transporter,461.0,
gene,protein_coding,761536,761817,-,,PP_0653,282,,CDS,with_protein,AAN66278.1,conserved protein of unknown function,93.0,
gene,protein_coding,761969,762901,+,mdh,PP_0654,933,,CDS,with_protein,AAN66279.2,putative malate dehydrogenase,310.0,
gene,protein_coding,762955,763281,+,,PP_0655,327,,CDS,with_protein,AAN66280.1,Fimbrial protein-related protein,108.0,
gene,protein_coding,763278,763637,+,,PP_5454,360,,CDS,with_protein,AMM02787.1,conserved membrane protein of unknown function,119.0,
gene,protein_coding,763699,764520,-,,PP_0656,822,,CDS,with_protein,AAN66281.1,"putative Amino acid ABC transporter, permease protein",273.0,
gene,protein_coding,764517,765344,-,,PP_0657,828,,CDS,with_protein,AAN66282.1,"putative Amino acid ABC transporter, periplasmic amino acid-binding protein",275.0,
gene,protein_coding,765406,766341,+,,PP_0658,936,,CDS,with_protein,AAN66283.1,Homocysteine S-methyltransferase family protein,311.0,
gene,protein_coding,766509,767780,+,metB,PP_0659,1272,,CDS,with_protein,AAN66284.1,Cystathionine gamma-synthase,423.0,
gene,protein_coding,767923,769362,+,mmuP,PP_0660,1440,,CDS,with_protein,AAN66285.1,S-methyl-L-methionine transporter,479.0,
gene,protein_coding,769408,770292,+,,PP_0661,885,,CDS,with_protein,AAN66286.1,putative Transcriptional regulator AmpR,294.0,
gene,protein_coding,770317,771705,+,,PP_0662,1389,,CDS,with_protein,AAN66287.1,putative Threonine synthase,462.0,
gene,protein_coding,771702,772139,+,,PP_0663,438,,CDS,with_protein,AAN66288.1,"Transcriptional regulator, AsnC family",145.0,
gene,protein_coding,772338,773381,+,,PP_0664,1044,,CDS,with_protein,AAN66289.1,homoserine dehydrogenase,347.0,
gene,protein_coding,773394,774812,+,,PP_0665,1419,,CDS,with_protein,AAN66290.1,putative glyceraldehyde-3-phosphate dehydrogenase,472.0,
gene,protein_coding,774829,775191,+,,PP_0666,363,,CDS,with_protein,AAN66291.1,conserved protein of unknown function,120.0,
gene,protein_coding,775362,775898,+,,PP_0667,537,,CDS,with_protein,AAN66292.1,"RNA polymerase sigma-70 factor, ECF subfamily",178.0,
gene,protein_coding,775895,776860,+,,PP_0668,966,,CDS,with_protein,AAN66293.1,putative Transmembrane sensor,321.0,
gene,protein_coding,776951,779383,+,,PP_0669,2433,,CDS,with_protein,AAN66294.1,Outer membrane ferric siderophore receptor,810.0,
gene,protein_coding,779517,780470,-,,PP_0670,954,,CDS,with_protein,AAN66295.1,"Transporter, bile acid/Na+ symporter family",317.0,
gene,protein_coding,780592,781845,-,glyA-II,PP_0671,1254,,CDS,with_protein,AAN66296.1,serine hydroxymethyltransferase,417.0,
gene,protein_coding,782095,785925,-,,PP_0672,3831,,CDS,with_protein,AAN66297.1,Sensory box protein,1276.0,
gene,protein_coding,786147,786578,+,,PP_0673,432,,CDS,with_protein,AAN66298.1,conserved protein of unknown function,143.0,
gene,protein_coding,786883,788550,+,ettA,PP_0674,1668,,CDS,with_protein,AAN66299.1,ADP/ATP ratio sensor and inhibitor of translation,555.0,
gene,protein_coding,788763,790112,+,gdhA,PP_0675,1350,,CDS,with_protein,AAN66300.1,"glutamate dehydrogenase, NADP-dependent",449.0,
gene,protein_coding,790172,790669,-,,PP_0676,498,,CDS,with_protein,AAN66301.1,putative Transcription elongation factor,165.0,
gene,protein_coding,790737,791093,-,,PP_0677,357,,CDS,with_protein,AAN66302.1,putative Lipoprotein,118.0,
gene,protein_coding,791195,793048,-,,PP_0678,1854,,CDS,with_protein,AAN66303.2,conserved exported protein of unknown function,617.0,
gene,protein_coding,793120,793635,-,,PP_0679,516,,CDS,with_protein,AAN66304.1,conserved exported protein of unknown function,171.0,
gene,protein_coding,793859,796297,+,,PP_0680,2439,,CDS,with_protein,AAN66305.1,ATP-dependent protease-like protein,812.0,
gene,protein_coding,796460,796798,+,,PP_0681,339,,CDS,with_protein,AAN66306.1,conserved protein of unknown function,112.0,
gene,protein_coding,796988,797476,+,,PP_0682,489,,CDS,with_protein,AAN66307.1,"conserved inner membrane protein of unknown function, UPF0114 family",162.0,
gene,protein_coding,797553,797942,+,,PP_0683,390,,CDS,with_protein,AAN66308.1,conserved protein of unknown function,129.0,
gene,protein_coding,798028,798645,+,fklB-I,PP_0684,618,,CDS,with_protein,AAN66309.1,FKBP-type peptidyl-prolyl cis-trans isomerase,205.0,
gene,protein_coding,798672,798917,-,,PP_0685,246,,CDS,with_protein,AAN66310.1,conserved protein of unknown function,81.0,
gene,protein_coding,799002,799343,-,yjdM,PP_0686,342,,CDS,with_protein,AAN66311.1,conserved protein of unknown function,113.0,
gene,protein_coding,799504,800472,-,ispB,PP_0687,969,,CDS,with_protein,AAN66312.1,octaprenyl diphosphate synthase,322.0,
gene,protein_coding,800519,801031,+,rplU,PP_0688,513,,CDS,with_protein,AAN66313.1,50S ribosomal protein L21,170.0,
gene,protein_coding,801070,801327,+,rpmA,PP_0689,258,,CDS,with_protein,AAN66314.1,50S ribosomal protein L27,85.0,
gene,protein_coding,801516,802742,+,obg,PP_0690,1227,,CDS,with_protein,AAN66315.1,GTPase Obg,408.0,
gene,protein_coding,802828,803946,+,proB,PP_0691,1119,,CDS,with_protein,AAN66316.1,Glutamate 5-kinase,372.0,
gene,protein_coding,803943,804404,+,,PP_0692,462,,CDS,with_protein,AAN66317.1,conserved protein of unknown function,153.0,
gene,protein_coding,804498,807329,-,,PP_0693,2832,,CDS,with_protein,AAN66318.1,conserved protein of unknown function,943.0,
gene,protein_coding,807326,808033,-,,PP_0694,708,,CDS,with_protein,AAN66319.1,conserved protein of unknown function,235.0,
gene,protein_coding,808023,809357,-,,PP_0695,1335,,CDS,with_protein,AAN66320.1,conserved protein of unknown function,444.0,
gene,protein_coding,809434,810309,+,,PP_0696,876,,CDS,with_protein,AAN66321.1,conserved protein of unknown function,291.0,
gene,protein_coding,810306,810761,+,rimI,PP_0697,456,,CDS,with_protein,AAN66322.1,ribosomal-protein-S18-alanine N-acetyltransferase,151.0,
gene,protein_coding,810819,811394,+,,PP_5455,576,,CDS,with_protein,AMM02788.1,conserved exported protein of unknown function,191.0,
gene,protein_coding,811334,812251,-,,PP_0698,918,,CDS,with_protein,AAN66323.1,"Transcriptional regulator, LysR family",305.0,
gene,protein_coding,812479,813093,+,,PP_0699,615,,CDS,with_protein,AAN66324.1,"Transporter, LysE family",204.0,
gene,tRNA,813224,813300,-,,PP_t70,77,,tRNA,,,tRNA-Met,,
gene,protein_coding,813396,814382,-,,PP_0700,987,,CDS,with_protein,AAN66325.1,putative Transmembrane sensor,328.0,
gene,protein_coding,814513,815727,+,fsr-I,PP_0701,1215,,CDS,with_protein,AAN66326.1,fosmidomycin efflux system,404.0,
gene,protein_coding,816052,817209,+,,PP_0702,1158,,CDS,with_protein,AAN66327.1,Major facilitator family transporter,385.0,
gene,protein_coding,817217,818167,-,,PP_0703,951,,CDS,with_protein,AAN66328.1,putative Transmembrane sensor,316.0,
gene,protein_coding,818160,818675,-,,PP_0704,516,,CDS,with_protein,AAN66329.1,"RNA polymerase sigma-70 factor, ECF subfamily",171.0,
gene,protein_coding,818847,819473,+,,PP_0705,627,,CDS,with_protein,AAN66330.1,DNA-3-methyladenine glycosylase,208.0,
gene,protein_coding,819521,820573,+,ada,PP_0706,1053,,CDS,with_protein,AAN66331.1,fused O(6)-alkylguanine DNA alkyltransferase - transcriptional activator,350.0,
gene,protein_coding,820630,823041,+,,PP_0707,2412,,CDS,with_protein,AAN66332.2,putative membrane protein,803.0,
gene,protein_coding,823173,824603,-,,PP_0708,1431,,CDS,with_protein,AAN66333.1,putative Betaine-aldehyde dehydrogenase,476.0,
gene,protein_coding,824617,826116,-,,PP_0709,1500,,CDS,with_protein,AAN66334.1,"Transporter, NCS1 nucleoside transporter family",499.0,
gene,protein_coding,826209,826598,-,,PP_0710,390,,CDS,with_protein,AAN66335.2,conserved protein of unknown function,129.0,
gene,protein_coding,826810,827430,+,ycaC-I,PP_0711,621,,CDS,with_protein,AAN66336.1,putative hydrolase,206.0,
gene,protein_coding,827537,828352,+,ppkB,PP_0712,816,,CDS,with_protein,AAN66337.1,polyphosphate kinase 2,271.0,
gene,protein_coding,828389,829585,+,kefB-I,PP_0713,1197,,CDS,with_protein,AAN66338.1,"Kef-type potassium/proton antiporter, CPA2 family",398.0,
gene,protein_coding,829626,830723,+,,PP_0714,1098,,CDS,with_protein,AAN66339.1,"Transporter, PerM family",365.0,
gene,protein_coding,830727,832241,+,,PP_0715,1515,,CDS,with_protein,AAN66340.1,Outer membrane efflux protein,504.0,
gene,protein_coding,832238,833335,+,,PP_0716,1098,,CDS,with_protein,AAN66341.1,HlyD family secretion protein,365.0,
gene,protein_coding,833325,834347,+,,PP_0717,1023,,CDS,with_protein,AAN66342.1,"conserved membrane protein of unknown function, DUF2955 family",340.0,
gene,protein_coding,834366,836078,-,,PP_0718,1713,,CDS,with_protein,AAN66343.1,Sulfate transporter,570.0,
gene,protein_coding,836255,837355,-,ychF,PP_0719,1101,,CDS,with_protein,AAN66344.1,ribosome-associated potassium-dependent informational ATP/GTPase,366.0,
gene,protein_coding,837380,837964,-,pth,PP_0720,585,,CDS,with_protein,AAN66345.1,Peptidyl-tRNA hydrolase,194.0,
gene,protein_coding,838044,838697,-,rplY,PP_0721,654,,CDS,with_protein,AAN66346.1,50S ribosomal protein L25,217.0,
gene,protein_coding,838756,839697,-,prs,PP_0722,942,,CDS,with_protein,AAN66347.1,Ribose-phosphate pyrophosphokinase,313.0,
gene,tRNA,839746,839820,-,,PP_t69,75,,tRNA,,,tRNA-Gln,,
gene,protein_coding,839841,840701,-,ispE,PP_0723,861,,CDS,with_protein,AAN66348.1,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,286.0,
gene,protein_coding,840706,841323,-,lolB,PP_0724,618,,CDS,with_protein,AAN66349.1,Outer-membrane lipoprotein LolB,205.0,
gene,protein_coding,841328,843049,-,,PP_0725,1722,,CDS,with_protein,AAN66350.1,conserved hypothetical TPR repeat protein,573.0,
gene,protein_coding,843518,844243,-,,PP_0726,726,,CDS,with_protein,AAN66351.1,Transferase,241.0,
gene,protein_coding,844240,844842,-,,PP_0727,603,,CDS,with_protein,AAN66352.1,conserved protein of unknown function,200.0,
gene,protein_coding,844839,846008,-,,PP_0728,1170,,CDS,with_protein,AAN66353.1,conserved protein of unknown function,389.0,
gene,protein_coding,846009,847199,-,,PP_0729,1191,,CDS,with_protein,AAN66354.1,conserved protein of unknown function,396.0,
gene,protein_coding,847259,848569,-,,PP_0730,1311,,CDS,with_protein,AAN66355.1,conserved protein of unknown function,436.0,
gene,protein_coding,848582,850417,-,pcs,PP_0731,1836,,CDS,with_protein,AAN66356.2,phosphatidylcholine synthase,611.0,
gene,protein_coding,851222,852499,+,hemA,PP_0732,1278,,CDS,with_protein,AAN66357.1,Glutamyl-tRNA reductase,425.0,
gene,protein_coding,852496,853578,+,prfA,PP_0733,1083,,CDS,with_protein,AAN66358.1,Peptide chain release factor 1,360.0,
gene,protein_coding,853578,854408,+,prmC,PP_0734,831,,CDS,with_protein,AAN66359.1,release factor-(glutamine-N5) methyltransferase,276.0,
gene,protein_coding,854402,855157,+,moeB,PP_0735,756,,CDS,with_protein,AAN66360.1,molybdopterin-synthase adenylyltransferase,251.0,
gene,protein_coding,855150,855947,+,murI,PP_0736,798,,CDS,with_protein,AAN66361.1,Glutamate racemase,265.0,
gene,protein_coding,856052,856570,+,pagL-I,PP_0737,519,,CDS,with_protein,AAN66362.2,lipid A 3-O-deacylase,172.0,
gene,protein_coding,856686,857384,-,,PP_0738,699,,CDS,with_protein,AAN66363.1,conserved protein of unknown function,232.0,
gene,protein_coding,857381,858823,-,phr,PP_0739,1443,,CDS,with_protein,AAN66364.1,deoxyribodipyrimidine photolyase,480.0,
gene,protein_coding,858814,859713,-,,PP_0740,900,,CDS,with_protein,AAN66365.1,"Transcriptional regulator, MerR family",299.0,
gene,protein_coding,859703,860671,-,,PP_0741,969,,CDS,with_protein,AAN66366.1,conserved protein of unknown function,322.0,
gene,protein_coding,860775,861761,-,,PP_0742,987,,CDS,with_protein,AAN66367.1,conserved exported protein of unknown function,328.0,
gene,protein_coding,861948,862853,+,yfcH,PP_0743,906,,CDS,with_protein,AAN66368.1,conserved protein with NAD(P)-binding Rossmann-fold domain,301.0,
gene,protein_coding,862867,863883,+,hemH,PP_0744,1017,,CDS,with_protein,AAN66369.1,Ferrochelatase,338.0,
gene,protein_coding,863919,865184,-,uraA,PP_0745,1266,,CDS,with_protein,AAN66370.1,putative uracil permease,421.0,
gene,protein_coding,865187,865825,-,upp,PP_0746,639,,CDS,with_protein,AAN66371.1,Uracil phosphoribosyltransferase,212.0,
gene,protein_coding,865988,866545,+,,PP_0747,558,,CDS,with_protein,AAN66372.1,Hypoxanthine-guanine phosphoribosyltransferase,185.0,
gene,protein_coding,866548,867021,+,,PP_0748,474,,CDS,with_protein,AAN66373.1,conserved protein of unknown function,157.0,
gene,protein_coding,867073,867543,+,,PP_0749,471,,CDS,with_protein,AAN66374.1,conserved exported protein of unknown function,156.0,
gene,protein_coding,867588,867902,+,,PP_0750,315,,CDS,with_protein,AAN66375.1,conserved protein of unknown function,104.0,
gene,protein_coding,868079,869587,-,mqo-I,PP_0751,1509,,CDS,with_protein,AAN66376.1,malate:quinone oxidoreductase,502.0,
gene,protein_coding,870189,870422,-,,PP_5456,234,,CDS,with_protein,AMM02789.1,conserved protein of unknown function,77.0,
gene,protein_coding,870568,871152,+,,PP_0753,585,,CDS,with_protein,AAN66378.1,putative Lipoprotein,194.0,
gene,protein_coding,871227,871538,-,,PP_0754,312,,CDS,with_protein,AAN66379.1,conserved protein of unknown function,103.0,
gene,protein_coding,871606,871854,+,,PP_0755,249,,CDS,with_protein,AAN66380.1,conserved protein of unknown function,82.0,
gene,protein_coding,871890,873161,-,,PP_0756,1272,,CDS,with_protein,AAN66381.1,conserved protein of unknown function,423.0,
gene,protein_coding,873182,873367,+,,PP_0757,186,,CDS,with_protein,AAN66382.1,conserved protein of unknown function,61.0,
gene,protein_coding,873367,873627,+,,PP_5457,261,,CDS,with_protein,AMM02790.1,conserved protein of unknown function,86.0,
gene,protein_coding,873643,874263,+,,PP_0758,621,,CDS,with_protein,AAN66383.1,conserved protein of unknown function,206.0,
gene,protein_coding,874422,875261,+,,PP_0759,840,,CDS,with_protein,AAN66384.1,conserved exported protein of unknown function,279.0,
gene,protein_coding,875307,875891,-,,PP_0760,585,,CDS,with_protein,AAN66385.1,conserved membrane protein of unknown function,194.0,
gene,ncRNA,875978,876119,-,,PP_mr65,142,,ncRNA,other,,YybP-YkoY,,
gene,protein_coding,876160,877158,-,rsmC,PP_0761,999,,CDS,with_protein,AAN66386.1,Ribosomal RNA small subunit methyltransferase C,332.0,
gene,protein_coding,877213,878178,-,hprA,PP_0762,966,,CDS,with_protein,AAN66387.1,Glycerate dehydrogenase,321.0,
gene,protein_coding,878472,880154,+,,PP_0763,1683,,CDS,with_protein,AAN66388.1,Medium-chain-fatty-acid CoA ligase,560.0,
gene,protein_coding,880486,882372,+,,PP_0765,1887,,CDS,with_protein,AAN66390.1,conserved exported protein of unknown function,628.0,
gene,protein_coding,882398,883762,+,,PP_0766,1365,,CDS,with_protein,AAN66391.1,conserved exported protein of unknown function,454.0,
gene,protein_coding,884090,886807,+,,PP_0767,2718,,CDS,with_protein,AAN66392.1,"Transcriptional regulator, LuxR family",905.0,
gene,protein_coding,886967,888574,+,,PP_0768,1608,,CDS,with_protein,AAN66393.1,Response regulator/TPR domain protein,535.0,
gene,protein_coding,888571,889263,+,,PP_0769,693,,CDS,with_protein,AAN66394.1,Sensor histidine kinase,230.0,
gene,protein_coding,889457,889711,+,,PP_0770,255,,CDS,with_protein,AAN66395.1,PemI-like protein,84.0,
gene,protein_coding,889708,890055,+,chpB,PP_0771,348,,CDS,with_protein,AAN66396.1,mRNA interferase,115.0,
gene,protein_coding,890074,890718,+,,PP_0772,645,,CDS,with_protein,AAN66397.1,Metallo-beta-lactamase family protein,214.0,
gene,protein_coding,890837,891547,+,yiaD,PP_0773,711,,CDS,with_protein,AAN66398.1,OmpA/MotB domain-containing protein,236.0,
gene,protein_coding,891627,893714,-,pta,PP_0774,2088,,CDS,with_protein,AAN66399.1,Phosphate acetyltransferase,695.0,
gene,protein_coding,893746,894048,-,,PP_0775,303,,CDS,with_protein,AAN66400.1,conserved protein of unknown function,100.0,
gene,protein_coding,894047,894532,+,slyD,PP_0776,486,,CDS,with_protein,AAN66401.1,FKBP-type peptidyl-prolyl cis-trans isomerase,161.0,
gene,protein_coding,894678,895160,+,,PP_0777,483,,CDS,with_protein,AAN66402.1,Glutathione peroxidase,160.0,
gene,protein_coding,895224,896414,-,,PP_0778,1191,,CDS,with_protein,AAN66403.1,"Glycosyl transferase, group 1 family protein",396.0,
gene,protein_coding,896569,897909,+,,PP_0779,1341,,CDS,with_protein,AAN66404.1,Methyl-accepting chemotaxis transducer/sensory box protein,446.0,
gene,protein_coding,898117,898452,+,,PP_0781,336,,CDS,with_protein,AAN66406.1,conserved protein of unknown function,111.0,
gene,protein_coding,898925,899548,+,,PP_0782,624,,CDS,with_protein,AAN66407.1,conserved protein of unknown function,207.0,
gene,protein_coding,899891,900508,+,,PP_0784,618,,CDS,with_protein,AAN66409.1,conserved protein of unknown function,205.0,
gene,protein_coding,900553,901281,-,cysZ,PP_0785,729,,CDS,with_protein,AAN66410.1,"putative cysZ protein, required for sulfate transport",242.0,
gene,protein_coding,901612,902574,+,trxB,PP_0786,963,,CDS,with_protein,AAN66411.1,thioredoxin reductase,320.0,
gene,protein_coding,902650,903498,-,nadC,PP_0787,849,,CDS,with_protein,AAN66412.1,quinolinate phosphoribosyltransferase (decarboxylating) monomer,282.0,
gene,protein_coding,903742,905901,+,,PP_0788,2160,,CDS,with_protein,AAN66413.2,conserved protein of unknown function,719.0,
gene,protein_coding,905990,906562,+,ampD,PP_0789,573,,CDS,with_protein,AAN66414.1,N-acetyl-anhydromuramyl-L-alanine-amidase,190.0,
gene,protein_coding,906559,907389,+,,PP_0790,831,,CDS,with_protein,AAN66415.1,Inner membrane protein AmpE,276.0,
gene,protein_coding,907434,908210,-,yjjV,PP_0791,777,,CDS,with_protein,AAN66416.1,putative hydrolase,258.0,
gene,protein_coding,908213,909208,-,cra,PP_0792,996,,CDS,with_protein,AAN66417.1,"catabolite repressor-activator, DNA-binding transcriptional dual regulator",331.0,
gene,protein_coding,909493,912345,+,fruB,PP_0793,2853,,CDS,with_protein,AAN66418.1,"Phosphotransferase system, fructose-specific EI/HPr/EIIA components",950.0,
gene,protein_coding,912346,913293,+,fruK,PP_0794,948,,CDS,with_protein,AAN66419.1,1-phosphofructokinase monomer,315.0,
gene,protein_coding,913290,915032,+,fruA,PP_0795,1743,,CDS,with_protein,AAN66420.1,fructose PTS permease - IIBC component,580.0,
gene,protein_coding,915180,915467,-,,PP_0796,288,,CDS,with_protein,AAN66421.1,conserved protein of unknown function,95.0,
gene,protein_coding,915540,916079,+,,PP_0797,540,,CDS,with_protein,AAN66422.1,conserved protein of unknown function,179.0,
gene,protein_coding,916076,917566,-,,PP_0798,1491,,CDS,with_protein,AAN66423.1,GGDEF domain protein,496.0,
gene,protein_coding,917765,919099,-,opdC,PP_0799,1335,,CDS,with_protein,AAN66424.1,histidine-specific outer membrane porin D,444.0,
gene,protein_coding,919305,919529,-,,PP_5458,225,,CDS,with_protein,AMM02791.1,conserved exported protein of unknown function,74.0,
gene,protein_coding,919720,920472,-,,PP_0800,753,,CDS,with_protein,AAN66425.1,conserved protein of unknown function,250.0,
gene,protein_coding,920451,920762,-,,PP_0801,312,,CDS,with_protein,AAN66426.2,conserved exported protein of unknown function,103.0,
gene,protein_coding,920851,921750,-,,PP_0802,900,,CDS,with_protein,AAN66427.1,putative chemotaxis protein,299.0,
gene,protein_coding,921843,923027,-,,PP_0803,1185,,CDS,with_protein,AAN66428.1,"Protein secretion ABC efflux system, membrane fusion protein",394.0,
gene,protein_coding,923024,925192,-,,PP_0804,2169,,CDS,with_protein,AAN66429.1,"Protein secretion ABC efflux system, permease and ATP-binding protein",722.0,
gene,protein_coding,925189,926625,-,,PP_0805,1437,,CDS,with_protein,AAN66430.1,Outer membrane efflux protein,478.0,
gene,protein_coding,926689,945621,-,,PP_0806,18933,,CDS,with_protein,AAN66431.1,putative Surface adhesion protein,6310.0,
gene,protein_coding,945812,947368,-,norR,PP_0807,1557,,CDS,with_protein,AAN66432.1,DNA-binding transcriptional dual regulator (NO),518.0,
gene,protein_coding,947524,948702,+,hmp,PP_0808,1179,,CDS,with_protein,AAN66433.1,Flavohemoprotein,392.0,
gene,protein_coding,949159,949665,+,dsbB,PP_0809,507,,CDS,with_protein,AAN66434.1,disulfide bond formation protein B,168.0,
gene,protein_coding,950225,951166,+,cyoA,PP_0812,942,,CDS,with_protein,AAN66437.1,cytochrome bo terminal oxidase subunit II,313.0,
gene,protein_coding,951170,953188,+,cyoB,PP_0813,2019,,CDS,with_protein,AAN66438.1,cytochrome bo terminal oxidase subunit I,672.0,
gene,protein_coding,953192,953815,+,cyoC,PP_0814,624,,CDS,with_protein,AAN66439.1,cytochrome bo terminal oxidase subunit III,207.0,
gene,protein_coding,953815,954147,+,cyoD,PP_0815,333,,CDS,with_protein,AAN66440.1,cytochrome bo terminal oxidase subunit IV,110.0,
gene,protein_coding,954159,955046,+,cyoE,PP_0816,888,,CDS,with_protein,AAN66441.1,protoheme IX farnesyltransferase,295.0,
gene,protein_coding,955359,956567,+,alaC,PP_0817,1209,,CDS,with_protein,AAN66442.1,aminotransferase,402.0,
gene,protein_coding,956681,957808,+,,PP_0818,1128,,CDS,with_protein,AAN66443.2,conserved protein of unknown function,375.0,
gene,protein_coding,957970,958353,+,ykgJ,PP_0819,384,,CDS,with_protein,AAN66444.1,conserved ferredoxin-like protein of unknown function,127.0,
gene,protein_coding,958546,959109,+,,PP_0820,564,,CDS,with_protein,AAN66445.1,GCN5-related N-acetyltransferase,187.0,
gene,protein_coding,959196,959735,+,,PP_5460,540,,CDS,with_protein,AMM02792.1,conserved membrane protein of unknown function,179.0,
gene,protein_coding,959732,960142,+,,PP_0821,411,,CDS,with_protein,AAN66446.1,conserved exported protein of unknown function,136.0,
gene,protein_coding,960268,961380,-,selU,PP_0822,1113,,CDS,with_protein,AAN66447.1,tRNA 2-selenouridine synthase,370.0,
gene,protein_coding,961380,962414,-,selD,PP_0823,1035,,CDS,with_protein,AAN66448.1,"Selenide, water dikinase",344.0,
gene,protein_coding,962541,963395,+,ptxB,PP_0824,855,,CDS,with_protein,AAN66449.1,phosphonate transport system-binding protein,284.0,
gene,protein_coding,963392,964201,+,phnC,PP_0825,810,,CDS,with_protein,AAN66450.1,phosphonates import ATP-binding protein,269.0,
gene,protein_coding,964195,965022,+,phnE,PP_0826,828,,CDS,with_protein,AAN66451.1,"phosphonate ABC transporter, permease protein",275.0,
gene,protein_coding,965019,965786,+,ptxC,PP_0827,768,,CDS,with_protein,AAN66452.1,putative phosphonate transport system permease protein PtxC,255.0,
gene,protein_coding,965823,966716,-,,PP_0828,894,,CDS,with_protein,AAN66453.2,conserved membrane protein of unknown function,297.0,
gene,protein_coding,967035,967331,+,,PP_0829,297,,CDS,with_protein,AAN66454.1,conserved protein of unknown function,98.0,
gene,protein_coding,967342,967821,-,,PP_0830,480,,CDS,with_protein,AAN66455.1,"Acetyltransferase, GNAT family",159.0,
gene,protein_coding,967989,968567,-,,PP_0831,579,,CDS,with_protein,AAN66456.2,hypothetical protein,192.0,
gene,tRNA,968898,968982,-,,PP_t68,85,,tRNA,,,tRNA-Leu,,
gene,protein_coding,969088,970137,+,queA,PP_0832,1050,,CDS,with_protein,AAN66457.1,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,349.0,
gene,protein_coding,970152,971267,+,tgt,PP_0833,1116,,CDS,with_protein,AAN66458.1,queuine tRNA-ribosyltransferase,371.0,
gene,protein_coding,971310,971645,+,yajC,PP_0834,336,,CDS,with_protein,AAN66459.1,Sec translocation complex subunit YajC,111.0,
gene,protein_coding,971709,973571,+,secD,PP_0835,1863,,CDS,with_protein,AAN66460.1,Sec Translocation Complex SecD subunit,620.0,
gene,protein_coding,973582,974490,+,secF,PP_0836,909,,CDS,with_protein,AAN66461.1,Sec translocation complex subunit SecF,302.0,
gene,protein_coding,974609,975151,+,ycfJ,PP_0837,543,,CDS,with_protein,AAN66462.1,putative regulator of flagellation,180.0,
gene,protein_coding,975320,976138,-,suhB,PP_0838,819,,CDS,with_protein,AAN66463.1,inositol monophosphatase / glycerol-2-phosphatase,272.0,
gene,protein_coding,976290,977045,+,trmJ,PP_0839,756,,CDS,with_protein,AAN66464.1,tRNA Cm32/Um32 methyltransferase,251.0,
gene,protein_coding,977049,977834,+,cysE,PP_0840,786,,CDS,with_protein,AAN66465.1,serine acetyltransferase,261.0,
gene,protein_coding,978014,978505,+,iscR,PP_0841,492,,CDS,with_protein,AAN66466.1,DNA-binding transcriptional dual regulator 2Fe-2S cluster IscR,163.0,
gene,protein_coding,978551,979765,+,iscS-I,PP_0842,1215,,CDS,with_protein,AAN66467.1,cysteine desulfurase,404.0,
gene,protein_coding,979812,980198,+,iscU,PP_0843,387,,CDS,with_protein,AAN66468.1,scaffold protein involved in iron-sulfur cluster assembly,128.0,
gene,protein_coding,980227,980550,+,iscA,PP_0844,324,,CDS,with_protein,AAN66469.1,"iron-sulfur cluster assembly protein, copper(I) binding",107.0,
gene,protein_coding,980559,981080,+,hscB,PP_0845,522,,CDS,with_protein,AAN66470.1,DnaJ-like molecular chaperone specific for IscU,173.0,
gene,protein_coding,981124,982986,+,hscA,PP_0846,1863,,CDS,with_protein,AAN66471.1,DnaK-like molecular chaperone specific for IscU,620.0,
gene,protein_coding,982990,983331,+,fdx,PP_0847,342,,CDS,with_protein,AAN66472.1,ferredoxin,113.0,
gene,protein_coding,983342,983542,+,iscX,PP_0848,201,,CDS,with_protein,AAN66473.1,donor of Fe2+ and regulator of cysteine desulfurase activity,66.0,
gene,protein_coding,983631,984056,+,ndk,PP_0849,426,,CDS,with_protein,AAN66474.1,Nucleoside diphosphate kinase,141.0,
gene,protein_coding,984085,985230,+,rlmN,PP_0850,1146,,CDS,with_protein,AAN66475.1,Dual-specificity RNA methyltransferase RlmN,381.0,
gene,protein_coding,985239,986006,+,pilF,PP_0851,768,,CDS,with_protein,AAN66476.1,Type IV pili biogenesis protein PilF,255.0,
gene,protein_coding,986003,987010,+,,PP_0852,1008,,CDS,with_protein,AAN66477.1,"Transcriptional regulator, Cro/CI family",335.0,
gene,protein_coding,987014,988123,+,ispG,PP_0853,1110,,CDS,with_protein,AAN66478.1,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,369.0,
gene,protein_coding,988149,989438,+,hisS,PP_0854,1290,,CDS,with_protein,AAN66479.1,Histidine--tRNA ligase,429.0,
gene,protein_coding,989478,990119,+,,PP_0855,642,,CDS,with_protein,AAN66480.1,conserved protein of unknown function,213.0,
