# ANI ranges report for assembly: GCA_000007565.2
# Submitted organism: Pseudomonas putida KT2440 (taxid = 160488, rank = no rank, lineage = Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas)
# Submitted Organism Has Type Assembly: Yes
# Best match: Pseudomonas putida (taxid = 303, rank = species, lineage = Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	AE015451.2	CIRCULAR	1443191	1455908	6181873	CP101910.1	5170616	5183331	GCA_024508115.1	Pseudomonas putida	93.1641	96	0.205731
S	AE015451.2	CIRCULAR	1456152	1457008	6181873	BLJF01000001.1	4088883	4089737	GCA_009932335.1	Pseudomonas asiatica	89.0315	96	0.0138631
S	AE015451.2	CIRCULAR	1457013	1457454	6181873	JABWRZ020000001.1	1095005	1095446	GCA_014269185.2	Pseudomonas oryzicola	87.8104	96	0.00714994
-	AE015451.2	CIRCULAR	1458140	1463031	6181873	CP101910.1	5164064	5168953	GCA_024508115.1	Pseudomonas putida	93.5536	96	0.0791346
-	AE015451.2	CIRCULAR	1463032	1474959	6181873	CP101910.1	5152096	5164006	GCA_024508115.1	Pseudomonas putida	93.5536	96	0.192951
-	AE015451.2	CIRCULAR	1474989	1478741	6181873	CP101910.1	5148252	5152003	GCA_024508115.1	Pseudomonas putida	90.314	96	0.0607098
S	AE015451.2	CIRCULAR	1478742	1478872	6181873	OPYN01000207.1	341657	341789	GCA_900277125.1	Pseudomonas inefficax	74.0741	96	0.0021191
-	AE015451.2	CIRCULAR	1478873	1480101	6181873	CP101910.1	5146877	5148105	GCA_024508115.1	Pseudomonas putida	91.2937	96	0.0198807
-	AE015451.2	CIRCULAR	1480294	1489274	6181873	CP101910.1	5137767	5146741	GCA_024508115.1	Pseudomonas putida	92.5072	96	0.14528
S	AE015451.2	CIRCULAR	1489275	1490334	6181873	BLJG01000210.1	51901	52959	GCA_009932375.1	Pseudomonas juntendi	96.2264	96	0.0171469
-	AE015451.2	CIRCULAR	1490335	1492281	6181873	CP101910.1	5134760	5136706	GCA_024508115.1	Pseudomonas putida	94.5044	96	0.0314953
S	AE015451.2	CIRCULAR	1492982	1493767	6181873	BLJF01000001.1	4052056	4052841	GCA_009932335.1	Pseudomonas asiatica	77.9172	96	0.0127146
S	AE015451.2	CIRCULAR	1493768	1494630	6181873	JABWRY020000001.1	4769735	4770597	GCA_014269205.2	Pseudomonas kermanshahensis	74.9137	96	0.0139602
S	AE015451.2	CIRCULAR	1494631	1494957	6181873	BBIS01000008.1	17237	17570	GCA_000730605.1	Pseudomonas monteilii	81.5476	95.5	0.00528966
-	AE015451.2	CIRCULAR	1494958	1496761	6181873	CP101910.1	5132930	5134733	GCA_024508115.1	Pseudomonas putida	89.0798	96	0.0291821
-	AE015451.2	CIRCULAR	1496800	1500677	6181873	CP101910.1	5128795	5132677	GCA_024508115.1	Pseudomonas putida	93.5617	96	0.0627318
S	AE015451.2	CIRCULAR	1500678	1500787	6181873	JABWSB020000004.1	83892	84010	GCA_014269245.2	Pseudomonas kurunegalensis	72.7273	96	0.0017794
-	AE015451.2	CIRCULAR	1500788	1508094	6181873	CP101910.1	5121352	5128655	GCA_024508115.1	Pseudomonas putida	93.3561	96	0.1182
-	AE015451.2	CIRCULAR	1508100	1531769	6181873	CP101910.1	5097291	5120959	GCA_024508115.1	Pseudomonas putida	92.9708	96	0.382894
-	AE015451.2	CIRCULAR	1531846	1536211	6181873	CP101910.1	5092905	5097284	GCA_024508115.1	Pseudomonas putida	92.4709	96	0.0706258
S	AE015451.2	CIRCULAR	1536212	1536343	6181873	CP114035.2	5163387	5163518	GCA_026898135.2	Pseudomonas fortuita	93.9394	96	0.00213528
-	AE015451.2	CIRCULAR	1536344	1537945	6181873	CP101910.1	5091273	5092872	GCA_024508115.1	Pseudomonas putida	90.8605	96	0.0259145
-	AE015451.2	CIRCULAR	1537946	1543078	6181873	CP101910.1	5086056	5091180	GCA_024508115.1	Pseudomonas putida	90.8605	96	0.0830331
-	AE015451.2	CIRCULAR	1543121	1547673	6181873	CP101910.1	5081444	5085941	GCA_024508115.1	Pseudomonas putida	89.118	96	0.0736508
-	AE015451.2	CIRCULAR	1547707	1551336	6181873	CP101910.1	5077672	5081305	GCA_024508115.1	Pseudomonas putida	93.0277	96	0.0587201
-	AE015451.2	CIRCULAR	1551365	1556948	6181873	CP101910.1	5031867	5037436	GCA_024508115.1	Pseudomonas putida	91.2732	96	0.0903286
S	AE015451.2	CIRCULAR	1556949	1560163	6181873	BBIS01000008.1	117237	120426	GCA_000730605.1	Pseudomonas monteilii	86.4991	95.5	0.0520069
-	AE015451.2	CIRCULAR	1560216	1563742	6181873	CP101910.1	5024944	5028472	GCA_024508115.1	Pseudomonas putida	90.3939	96	0.0570539
-	AE015451.2	CIRCULAR	1563812	1567206	6181873	CP101910.1	5021453	5024846	GCA_024508115.1	Pseudomonas putida	90.8157	96	0.0549186
-	AE015451.2	CIRCULAR	1567228	1569080	6181873	CP101910.1	5019471	5021326	GCA_024508115.1	Pseudomonas putida	88.6681	96	0.0299747
-	AE015451.2	CIRCULAR	1569149	1574434	6181873	CP101910.1	5014186	5019468	GCA_024508115.1	Pseudomonas putida	91.3956	96	0.0855081
-	AE015451.2	CIRCULAR	1574512	1575035	6181873	CP101910.1	5013539	5014062	GCA_024508115.1	Pseudomonas putida	91.2214	96	0.0084764
-	AE015451.2	CIRCULAR	1575224	1587488	6181873	CP101910.1	5000048	5012301	GCA_024508115.1	Pseudomonas putida	91.1389	96	0.198403
-	AE015451.2	CIRCULAR	1587567	1588212	6181873	CP101910.1	4998502	4999148	GCA_024508115.1	Pseudomonas putida	86.0896	96	0.0104499
-	AE015451.2	CIRCULAR	1588233	1593524	6181873	CP101910.1	4993118	4998420	GCA_024508115.1	Pseudomonas putida	89.5331	96	0.0856051
-	AE015451.2	CIRCULAR	1593603	1593901	6181873	CP101910.1	4992819	4993117	GCA_024508115.1	Pseudomonas putida	91	96	0.00483672
S	AE015451.2	CIRCULAR	1593902	1594039	6181873	BLJF01000001.1	3905111	3905249	GCA_009932335.1	Pseudomonas asiatica	74.1007	96	0.00223233
-	AE015451.2	CIRCULAR	1594050	1604484	6181873	CP101910.1	4980181	4990602	GCA_024508115.1	Pseudomonas putida	89.7788	96	0.1688
-	AE015451.2	CIRCULAR	1604548	1607878	6181873	CP101910.1	4976700	4980034	GCA_024508115.1	Pseudomonas putida	88.8849	96	0.0538833
-	AE015451.2	CIRCULAR	1607879	1612892	6181873	CP101910.1	4971597	4976598	GCA_024508115.1	Pseudomonas putida	88.8849	96	0.0811081
S	AE015451.2	CIRCULAR	1612893	1614737	6181873	CP114035.2	5036992	5038837	GCA_026898135.2	Pseudomonas fortuita	86.8435	96	0.0298453
-	AE015451.2	CIRCULAR	1614738	1622490	6181873	CP101910.1	4963700	4971454	GCA_024508115.1	Pseudomonas putida	91.2466	96	0.125415
-	AE015451.2	CIRCULAR	1622515	1625200	6181873	CP101910.1	4960946	4963631	GCA_024508115.1	Pseudomonas putida	90.9721	96	0.0434496
-	AE015451.2	CIRCULAR	1625201	1637332	6181873	CP101910.1	4948753	4960883	GCA_024508115.1	Pseudomonas putida	90.9721	96	0.196251
-	AE015451.2	CIRCULAR	1637333	1642242	6181873	CP101910.1	4943767	4948690	GCA_024508115.1	Pseudomonas putida	90.9721	96	0.0794258
-	AE015451.2	CIRCULAR	1642303	1644803	6181873	CP101910.1	4941249	4943749	GCA_024508115.1	Pseudomonas putida	93.0056	96	0.040457
S	AE015451.2	CIRCULAR	1644804	1644943	6181873	KE384451.1	314761	314899	GCA_000425785.1	Pseudomonas taiwanensis	69.4444	96	0.00226469
-	AE015451.2	CIRCULAR	1644944	1648908	6181873	CP101910.1	4937106	4941071	GCA_024508115.1	Pseudomonas putida	93.093	96	0.0641391
S	AE015451.2	CIRCULAR	1648909	1649015	6181873	OPYN01000207.1	115740	115848	GCA_900277125.1	Pseudomonas inefficax	72.1739	96	0.00173087
-	AE015451.2	CIRCULAR	1649016	1652120	6181873	CP101910.1	4933866	4936977	GCA_024508115.1	Pseudomonas putida	90.5879	96	0.0502275
S	AE015451.2	CIRCULAR	1652249	1658641	6181873	CP114035.2	1140685	1147077	GCA_026898135.2	Pseudomonas fortuita	85.9997	96	0.103415
-	AE015451.2	CIRCULAR	1658642	1668375	6181873	CP101910.1	1251167	1260897	GCA_024508115.1	Pseudomonas putida	91.5847	96	0.15746
S	AE015451.2	CIRCULAR	1668376	1668604	6181873	CP114035.2	1157857	1158072	GCA_026898135.2	Pseudomonas fortuita	83.913	96	0.00370438
-	AE015451.2	CIRCULAR	1668605	1678657	6181873	CP101910.1	1261104	1271157	GCA_024508115.1	Pseudomonas putida	91.1294	96	0.162621
-	AE015451.2	CIRCULAR	1678671	1684527	6181873	CP101910.1	1271249	1277119	GCA_024508115.1	Pseudomonas putida	88.4923	96	0.0947447
S	AE015451.2	CIRCULAR	1684528	1685201	6181873	BQIJ01000019.1	54699	55371	GCA_021602465.1	Pseudomonas urethralis	90.0593	96	0.0109028
-	AE015451.2	CIRCULAR	1685358	1691728	6181873	CP101910.1	1277189	1283558	GCA_024508115.1	Pseudomonas putida	90.7979	96	0.103059
-	AE015451.2	CIRCULAR	1691840	1700323	6181873	CP101910.1	1283750	1292242	GCA_024508115.1	Pseudomonas putida	89.0248	96	0.13724
-	AE015451.2	CIRCULAR	1700377	1703246	6181873	CP101910.1	1292336	1295185	GCA_024508115.1	Pseudomonas putida	91.5914	96	0.0464261
-	AE015451.2	CIRCULAR	1703302	1704633	6181873	CP101910.1	1295273	1296607	GCA_024508115.1	Pseudomonas putida	91.3922	96	0.0215469
-	AE015451.2	CIRCULAR	1704675	1707183	6181873	CP101910.1	1296726	1299234	GCA_024508115.1	Pseudomonas putida	91.7098	96	0.0405864
-	AE015451.2	CIRCULAR	1707272	1709314	6181873	CP101910.1	1299358	1301398	GCA_024508115.1	Pseudomonas putida	92.0782	96	0.0330482
-	AE015451.2	CIRCULAR	1709325	1712969	6181873	CP101910.1	1301490	1305133	GCA_024508115.1	Pseudomonas putida	91.2603	96	0.0589627
-	AE015451.2	CIRCULAR	1712972	1718078	6181873	CP101910.1	1305191	1310295	GCA_024508115.1	Pseudomonas putida	90.7455	96	0.0826125
-	AE015451.2	CIRCULAR	1719379	1720090	6181873	CP101910.1	1310435	1311145	GCA_024508115.1	Pseudomonas putida	90.0281	96	0.0115175
-	AE015451.2	CIRCULAR	1720166	1724426	6181873	CP101910.1	1311519	1315779	GCA_024508115.1	Pseudomonas putida	90.9198	96	0.0689273
-	AE015451.2	CIRCULAR	1724486	1728611	6181873	CP101910.1	1315925	1320053	GCA_024508115.1	Pseudomonas putida	92.4976	96	0.0667435
S	AE015451.2	CIRCULAR	1728612	1728728	6181873	CP114035.2	1215074	1215190	GCA_026898135.2	Pseudomonas fortuita	88.8889	96	0.00189263
-	AE015451.2	CIRCULAR	1728729	1737978	6181873	CP101910.1	1320139	1329391	GCA_024508115.1	Pseudomonas putida	91.7467	96	0.149631
S	AE015451.2	CIRCULAR	1737979	1738101	6181873	CP077095.1	4261479	4261601	GCA_014268885.2	Pseudomonas xantholysinigenes	78.7402	96	0.00198969
S	AE015451.2	CIRCULAR	1739753	1740348	6181873	CP114035.2	3987462	3988056	GCA_026898135.2	Pseudomonas fortuita	91.7785	96	0.00964109
S	AE015451.2	CIRCULAR	1740905	1741004	6181873	JABWRY020000001.1	3011963	3012062	GCA_014269205.2	Pseudomonas kermanshahensis	96	96	0.00161763
S	AE015451.2	CIRCULAR	1741005	1741163	6181873	BLJF01000001.1	1216317	1216487	GCA_009932335.1	Pseudomonas asiatica	80.117	96	0.00257204
S	AE015451.2	CIRCULAR	1742570	1742682	6181873	BQIJ01000026.1	43698	43810	GCA_021602465.1	Pseudomonas urethralis	92.1053	96	0.00182792
S	AE015451.2	CIRCULAR	1744218	1744884	6181873	JMIT01000001.1	1364531	1365197	GCA_000731675.1	Pseudomonas capeferrum	93.1034	96	0.0107896
S	AE015451.2	CIRCULAR	1744907	1745228	6181873	CP114035.2	3984694	3985016	GCA_026898135.2	Pseudomonas fortuita	87.9257	96	0.00520878
S	AE015451.2	CIRCULAR	1745229	1745812	6181873	BQHW01000008.1	165414	165996	GCA_021602025.1	Pseudomonas ceruminis	92.9915	96	0.00944698
S	AE015451.2	CIRCULAR	1750583	1752485	6181873	CP114035.2	1846355	1848260	GCA_026898135.2	Pseudomonas fortuita	88.7376	96	0.0307836
S	AE015451.2	CIRCULAR	1752486	1752626	6181873	JMIT01000001.1	1353979	1354122	GCA_000731675.1	Pseudomonas capeferrum	71.2329	96	0.00228086
S	AE015451.2	CIRCULAR	1752627	1754302	6181873	CP114035.2	1848655	1850331	GCA_026898135.2	Pseudomonas fortuita	88.2143	96	0.0271115
S	AE015451.2	CIRCULAR	1754617	1755804	6181873	CP114035.2	1850580	1851767	GCA_026898135.2	Pseudomonas fortuita	92.8631	96	0.0192175
S	AE015451.2	CIRCULAR	1755805	1755904	6181873	CP034338.1	3516970	3517069	GCA_003940825.1	Pseudomonas oryziphila	95	96	0.00161763
S	AE015451.2	CIRCULAR	1755905	1756402	6181873	BQIJ01000009.1	199745	200233	GCA_021602465.1	Pseudomonas urethralis	85.0598	96	0.00805581
S	AE015451.2	CIRCULAR	1756403	1764016	6181873	BLJG01000003.1	3167	10778	GCA_009932375.1	Pseudomonas juntendi	89.8516	96	0.123167
S	AE015451.2	CIRCULAR	1764017	1764133	6181873	BQIJ01000009.1	207848	207951	GCA_021602465.1	Pseudomonas urethralis	70.9402	96	0.00189263
S	AE015451.2	CIRCULAR	1764668	1764830	6181873	JABWRY020000001.1	1018310	1018458	GCA_014269205.2	Pseudomonas kermanshahensis	72.561	96	0.00263674
S	AE015451.2	CIRCULAR	1764831	1765531	6181873	BLJG01000003.1	11345	12045	GCA_009932375.1	Pseudomonas juntendi	86.3053	96	0.0113396
S	AE015451.2	CIRCULAR	1765532	1768042	6181873	JABWRY020000001.1	1019161	1021671	GCA_014269205.2	Pseudomonas kermanshahensis	82.157	96	0.0406188
S	AE015451.2	CIRCULAR	1775984	1776439	6181873	BQIJ01000022.1	79123	79572	GCA_021602465.1	Pseudomonas urethralis	71.1828	96	0.00737641
S	AE015451.2	CIRCULAR	1776458	1776853	6181873	BQHW01000026.1	3156	3550	GCA_021602025.1	Pseudomonas ceruminis	84.5771	96	0.00640583
-	AE015451.2	CIRCULAR	1777394	1780045	6181873	CP101910.1	1329392	1332045	GCA_024508115.1	Pseudomonas putida	91.3371	96	0.0428996
S	AE015451.2	CIRCULAR	1780046	1780145	6181873	CP114035.2	1226522	1226622	GCA_026898135.2	Pseudomonas fortuita	65.7658	96	0.00161763
-	AE015451.2	CIRCULAR	1780146	1799859	6181873	CP101910.1	1332182	1351894	GCA_024508115.1	Pseudomonas putida	92.2102	96	0.3189
-	AE015451.2	CIRCULAR	1799934	1804593	6181873	CP101910.1	1351995	1356653	GCA_024508115.1	Pseudomonas putida	92.6244	96	0.0753817
S	AE015451.2	CIRCULAR	1804594	1804766	6181873	BBIS01000043.1	10370	10511	GCA_000730605.1	Pseudomonas monteilii	54.8387	95.5	0.0027985
-	AE015451.2	CIRCULAR	1804767	1811417	6181873	CP101910.1	1356788	1363442	GCA_024508115.1	Pseudomonas putida	92.6493	96	0.107589
-	AE015451.2	CIRCULAR	1811478	1814503	6181873	CP101910.1	1363443	1366470	GCA_024508115.1	Pseudomonas putida	91.8424	96	0.0489496
-	AE015451.2	CIRCULAR	1814504	1819813	6181873	CP101910.1	1366525	1371837	GCA_024508115.1	Pseudomonas putida	91.8424	96	0.0858963
-	AE015451.2	CIRCULAR	1821778	1822186	6181873	CP101910.1	1371874	1372284	GCA_024508115.1	Pseudomonas putida	90.4872	96	0.00661612
-	AE015451.2	CIRCULAR	1822187	1828706	6181873	CP101910.1	1373875	1380395	GCA_024508115.1	Pseudomonas putida	90.4872	96	0.10547
-	AE015451.2	CIRCULAR	1828980	1835008	6181873	CP101910.1	1380527	1386556	GCA_024508115.1	Pseudomonas putida	91.7012	96	0.0975271
-	AE015451.2	CIRCULAR	1835064	1840068	6181873	CP101910.1	1386641	1391643	GCA_024508115.1	Pseudomonas putida	91.8131	96	0.0809625
-	AE015451.2	CIRCULAR	1840104	1841966	6181873	CP101910.1	1391769	1393631	GCA_024508115.1	Pseudomonas putida	90.5043	96	0.0301365
-	AE015451.2	CIRCULAR	1842053	1847073	6181873	CP101910.1	1393685	1398705	GCA_024508115.1	Pseudomonas putida	89.4726	96	0.0812213
-	AE015451.2	CIRCULAR	1848412	1854700	6181873	CP101910.1	1398747	1405035	GCA_024508115.1	Pseudomonas putida	91.9752	96	0.101733
S	AE015451.2	CIRCULAR	1854846	1859101	6181873	CP077097.1	3272977	3277197	GCA_014269225.2	Pseudomonas anuradhapurensis	88.5868	96	0.0688464
-	AE015451.2	CIRCULAR	1859181	1859471	6181873	CP101910.1	1405058	1405347	GCA_024508115.1	Pseudomonas putida	92.4399	96	0.00470731
-	AE015451.2	CIRCULAR	1859516	1862223	6181873	CP101910.1	1405426	1408134	GCA_024508115.1	Pseudomonas putida	94.832	96	0.0438055
-	AE015451.2	CIRCULAR	1862292	1864471	6181873	CP101910.1	1408137	1410315	GCA_024508115.1	Pseudomonas putida	87.5916	96	0.0352644
-	AE015451.2	CIRCULAR	1864544	1866898	6181873	CP101910.1	1410443	1412796	GCA_024508115.1	Pseudomonas putida	91.2786	96	0.0380953
-	AE015451.2	CIRCULAR	1866900	1876032	6181873	CP101910.1	1414953	1424085	GCA_024508115.1	Pseudomonas putida	88.0442	96	0.147738
S	AE015451.2	CIRCULAR	1876087	1877383	6181873	CP114035.2	1317274	1318569	GCA_026898135.2	Pseudomonas fortuita	86.4511	96	0.0209807
-	AE015451.2	CIRCULAR	1877384	1879893	6181873	CP101910.1	1424300	1426829	GCA_024508115.1	Pseudomonas putida	88.1423	96	0.0406026
-	AE015451.2	CIRCULAR	1879959	1884959	6181873	CP101910.1	1428292	1433283	GCA_024508115.1	Pseudomonas putida	88.3679	96	0.0808978
S	AE015451.2	CIRCULAR	1884960	1885066	6181873	BLJF01000001.1	551672	551778	GCA_009932335.1	Pseudomonas asiatica	82.4074	96	0.00173087
-	AE015451.2	CIRCULAR	1885285	1891626	6181873	CP101910.1	1433304	1439641	GCA_024508115.1	Pseudomonas putida	90.8876	96	0.10259
S	AE015451.2	CIRCULAR	1891627	1894717	6181873	BBIS01000043.1	88175	91243	GCA_000730605.1	Pseudomonas monteilii	87.87	95.5	0.050001
-	AE015451.2	CIRCULAR	1894787	1897188	6181873	CP101910.1	1439689	1442096	GCA_024508115.1	Pseudomonas putida	91.0336	96	0.0388555
-	AE015451.2	CIRCULAR	1897240	1898857	6181873	CP101910.1	1443252	1444867	GCA_024508115.1	Pseudomonas putida	94.6363	96	0.0261733
S	AE015451.2	CIRCULAR	1898858	1899009	6181873	OLKI01000013.1	17142	17293	GCA_900291065.1	Pseudomonas shirazica	97.3684	96	0.0024588
-	AE015451.2	CIRCULAR	1899102	1899222	6181873	JACAQQ010000066.1	814	938	GCA_013387005.1	Pseudomonas putida	86.4	96	0.00195734
-	AE015451.2	CIRCULAR	1899223	1903530	6181873	CP101910.1	1448670	1452978	GCA_024508115.1	Pseudomonas putida	87.1498	96	0.0696876
-	AE015451.2	CIRCULAR	1903601	1906692	6181873	CP101910.1	1453083	1456174	GCA_024508115.1	Pseudomonas putida	92.2754	96	0.0500172
S	AE015451.2	CIRCULAR	1906693	1906797	6181873	CP119325.1	5376464	5376568	GCA_029202525.1	Candidatus Pseudomonas phytovorans	74.3119	96	0.00169851
S	AE015451.2	CIRCULAR	1906798	1909382	6181873	BLJG01000201.1	79	2680	GCA_009932375.1	Pseudomonas juntendi	88.9528	96	0.0418158
S	AE015451.2	CIRCULAR	1909478	1911079	6181873	BLJG01000156.1	18032	19632	GCA_009932375.1	Pseudomonas juntendi	90.1058	96	0.0259145
S	AE015451.2	CIRCULAR	1911094	1912003	6181873	JABWRY020000001.1	954817	955725	GCA_014269205.2	Pseudomonas kermanshahensis	86.2788	96	0.0147205
-	AE015451.2	CIRCULAR	1912017	1913326	6181873	CP101910.1	1456262	1457572	GCA_024508115.1	Pseudomonas putida	92.296	96	0.021191
-	AE015451.2	CIRCULAR	1913402	1914541	6181873	CP101910.1	1457573	1458712	GCA_024508115.1	Pseudomonas putida	90.614	96	0.018441
-	AE015451.2	CIRCULAR	1914638	1917116	6181873	CP101910.1	1458784	1461273	GCA_024508115.1	Pseudomonas putida	90.6651	96	0.0401011
-	AE015451.2	CIRCULAR	1917273	1921518	6181873	CP101910.1	1461335	1465582	GCA_024508115.1	Pseudomonas putida	91.9154	96	0.0686847
-	AE015451.2	CIRCULAR	1921586	1927906	6181873	CP101910.1	1465710	1472037	GCA_024508115.1	Pseudomonas putida	91.0607	96	0.102251
-	AE015451.2	CIRCULAR	1927957	1930373	6181873	CP101910.1	1472180	1474596	GCA_024508115.1	Pseudomonas putida	91.6116	96	0.0390982
-	AE015451.2	CIRCULAR	1930412	1935672	6181873	CP101910.1	1474683	1479936	GCA_024508115.1	Pseudomonas putida	90.7937	96	0.0851037
S	AE015451.2	CIRCULAR	1935673	1936916	6181873	BBIS01000016.1	31582	32788	GCA_000730605.1	Pseudomonas monteilii	85.2894	95.5	0.0201234
-	AE015451.2	CIRCULAR	1936917	1939596	6181873	CP101910.1	1481322	1484001	GCA_024508115.1	Pseudomonas putida	91.9866	96	0.0433526
-	AE015451.2	CIRCULAR	1939698	1942322	6181873	CP101910.1	1484145	1486769	GCA_024508115.1	Pseudomonas putida	90.7154	96	0.0424629
-	AE015451.2	CIRCULAR	1942385	1944542	6181873	CP101910.1	1486870	1489035	GCA_024508115.1	Pseudomonas putida	92.8473	96	0.0349085
-	AE015451.2	CIRCULAR	1944739	1945003	6181873	CP101910.1	1499249	1499512	GCA_024508115.1	Pseudomonas putida	89.0977	96	0.00428673
-	AE015451.2	CIRCULAR	1945013	1945940	6181873	CP101910.1	1498200	1499127	GCA_024508115.1	Pseudomonas putida	86.5447	96	0.0150116
S	AE015451.2	CIRCULAR	1945941	1946206	6181873	CP114035.2	1380948	1381213	GCA_026898135.2	Pseudomonas fortuita	81.9549	96	0.0043029
-	AE015451.2	CIRCULAR	1946233	1947740	6181873	CP101910.1	1499934	1501442	GCA_024508115.1	Pseudomonas putida	89.1463	96	0.0243939
S	AE015451.2	CIRCULAR	1947774	1947896	6181873	OPYN01000164.1	215547	215669	GCA_900277125.1	Pseudomonas inefficax	93.4959	96	0.00198969
-	AE015451.2	CIRCULAR	1947915	1951555	6181873	CP101910.1	1501572	1505212	GCA_024508115.1	Pseudomonas putida	91.685	96	0.058898
-	AE015451.2	CIRCULAR	1951580	1955207	6181873	CP101910.1	1505335	1508962	GCA_024508115.1	Pseudomonas putida	90.3004	96	0.0586877
S	AE015451.2	CIRCULAR	1955208	1956291	6181873	CP114035.2	1390210	1391309	GCA_026898135.2	Pseudomonas fortuita	87.1026	96	0.0175351
-	AE015451.2	CIRCULAR	1957671	1960107	6181873	CP101910.1	1510320	1512755	GCA_024508115.1	Pseudomonas putida	91.7555	96	0.0394217
-	AE015451.2	CIRCULAR	1960126	1963585	6181873	CP101910.1	1512868	1516326	GCA_024508115.1	Pseudomonas putida	92.2566	96	0.0559701
-	AE015451.2	CIRCULAR	1963744	1967989	6181873	CP101910.1	1516396	1520647	GCA_024508115.1	Pseudomonas putida	89.9272	96	0.0686847
S	AE015451.2	CIRCULAR	1967990	1968146	6181873	OPYN01000074.1	53732	53881	GCA_900277125.1	Pseudomonas inefficax	78.6164	96	0.00253968
-	AE015451.2	CIRCULAR	1968147	1973890	6181873	CP101910.1	1520738	1526476	GCA_024508115.1	Pseudomonas putida	93.7685	96	0.0929168
-	AE015451.2	CIRCULAR	1973952	1981109	6181873	CP101910.1	1526638	1533817	GCA_024508115.1	Pseudomonas putida	93.5161	96	0.11579
S	AE015451.2	CIRCULAR	1981231	1981584	6181873	OPYN01000074.1	68670	69023	GCA_900277125.1	Pseudomonas inefficax	96.3277	96	0.00572642
-	AE015451.2	CIRCULAR	1981585	1983335	6181873	CP101910.1	1535328	1537072	GCA_024508115.1	Pseudomonas putida	85.0228	96	0.0283247
S	AE015451.2	CIRCULAR	1983610	1988839	6181873	BQHW01000015.1	100959	106187	GCA_021602025.1	Pseudomonas ceruminis	78.0871	96	0.0846022
S	AE015451.2	CIRCULAR	1995821	2021439	6181873	CP114035.2	1432630	1458255	GCA_026898135.2	Pseudomonas fortuita	92.2774	96	0.414421
S	AE015451.2	CIRCULAR	2021805	2026109	6181873	CP114035.2	1458548	1462848	GCA_026898135.2	Pseudomonas fortuita	83.5959	96	0.0696391
S	AE015451.2	CIRCULAR	2031361	2032365	6181873	BLJG01000077.1	44444	45446	GCA_009932375.1	Pseudomonas juntendi	86.8657	96	0.0162572
S	AE015451.2	CIRCULAR	2032515	2034170	6181873	CP114035.2	1468246	1469901	GCA_026898135.2	Pseudomonas fortuita	89.9337	96	0.026788
S	AE015451.2	CIRCULAR	2037602	2038194	6181873	OLKI01000014.1	6928	7521	GCA_900291065.1	Pseudomonas shirazica	87.2269	96	0.00959256
S	AE015451.2	CIRCULAR	2038383	2039497	6181873	OPYN01000075.1	32077	33191	GCA_900277125.1	Pseudomonas inefficax	85.0224	96	0.0180366
S	AE015451.2	CIRCULAR	2039498	2039837	6181873	CP114035.2	1471142	1471478	GCA_026898135.2	Pseudomonas fortuita	64.7727	96	0.00549995
S	AE015451.2	CIRCULAR	2039838	2040240	6181873	CP119325.1	5259144	5259553	GCA_029202525.1	Candidatus Pseudomonas phytovorans	88.7805	96	0.00651906
-	AE015451.2	CIRCULAR	2040273	2041336	6181873	CP101910.1	1573744	1574807	GCA_024508115.1	Pseudomonas putida	90.9176	96	0.0172116
-	AE015451.2	CIRCULAR	2041554	2043495	6181873	CP101910.1	1576071	1578011	GCA_024508115.1	Pseudomonas putida	90.9605	96	0.0314144
-	AE015451.2	CIRCULAR	2044670	2046725	6181873	CP101910.1	1580814	1582870	GCA_024508115.1	Pseudomonas putida	88.6783	96	0.0332585
-	AE015451.2	CIRCULAR	2046793	2048761	6181873	CP101910.1	1582988	1584957	GCA_024508115.1	Pseudomonas putida	91.7766	96	0.0318512
S	AE015451.2	CIRCULAR	2048762	2048896	6181873	CP119325.1	5249877	5250003	GCA_029202525.1	Candidatus Pseudomonas phytovorans	81.6176	96	0.0021838
-	AE015451.2	CIRCULAR	2048897	2052769	6181873	CP101910.1	1585085	1588957	GCA_024508115.1	Pseudomonas putida	93.7806	96	0.0626509
-	AE015451.2	CIRCULAR	2052820	2060939	6181873	CP101910.1	1589081	1597196	GCA_024508115.1	Pseudomonas putida	89.2774	96	0.131352
-	AE015451.2	CIRCULAR	2060978	2066233	6181873	CP101910.1	1597336	1602597	GCA_024508115.1	Pseudomonas putida	89.1596	96	0.0850228
-	AE015451.2	CIRCULAR	2066302	2068158	6181873	CP101910.1	1603380	1605235	GCA_024508115.1	Pseudomonas putida	89.9073	96	0.0300394
