GENE_ID	COG_ID	COG_CATEGORY	COG_NAME	PATHWAY	FUNC_CATEGORY_NUMBER	FUNC_CATEGORY	COG_GROUP	COG_CATEGORY_DESCRIPTION	ASSOC_COLOR
PP_RS13885	COG0607	P	Rhodanese-related sulfurtransferase	Urea cycle	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS26310	COG0607	P	Rhodanese-related sulfurtransferase	Urea cycle	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS26355	COG0607	P	Rhodanese-related sulfurtransferase	Urea cycle	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS07620	COG0608	L	ssDNA-specific exonuclease RecJ, DHH superfamily, may be involved in archaeal DNA replication intiation	NA	1	INFORMATION STORAGE AND PROCESSING	1	Replication, recombination and repair	FCDCDC
PP_RS12595	COG0609	P	ABC-type Fe3+-siderophore transport system, permease component	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS24440	COG0609	P	ABC-type Fe3+-siderophore transport system, permease component	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS02750	COG0611	H	Thiamine monophosphate kinase	Thiamine biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS00740	COG0612	R	Predicted Zn-dependent peptidase, M16 family	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS26640	COG0612	R	Predicted Zn-dependent peptidase, M16 family	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS26645	COG0612	R	Predicted Zn-dependent peptidase, M16 family	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS26655	COG0612	R	Predicted Zn-dependent peptidase, M16 family	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS26660	COG0612	R	Predicted Zn-dependent peptidase, M16 family	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS23430	COG0613	F	5'-3' exoribonuclease TrpH/YciV (RNase AM), contains PHP domain	NA	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS02775	COG0614	P	ABC-type Fe3+-hydroxamate transport system, periplasmic component	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS12600	COG0614	P	ABC-type Fe3+-hydroxamate transport system, periplasmic component	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS09830	COG0616	O	Periplasmic serine protease, ClpP class	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS20185	COG0616	O	Periplasmic serine protease, ClpP class	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS20410	COG0616	O	Periplasmic serine protease, ClpP class	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS02085	COG0617	J	tRNA nucleotidyltransferase (CCA-adding enzyme)/poly(A) polymerase	tRNA modification	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS24490	COG0617	J	tRNA nucleotidyltransferase (CCA-adding enzyme)/poly(A) polymerase	tRNA modification	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS14050	COG0620	E	Methionine synthase II (cobalamin-independent)	Methionine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS06195	COG0621	J	tRNA A37 methylthiotransferase MiaB	tRNA modification	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS01085	COG0624	E	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase	Arginine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS03255	COG0624	E	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase	Arginine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS07850	COG0624	E	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase	Arginine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS18555	COG0624	E	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase	Arginine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS20970	COG0624	E	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase	Arginine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS27020	COG0624	E	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase	Arginine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS00980	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS01780	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS06045	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS06830	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS06965	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS09360	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS09755	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS10505	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS12915	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS13240	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS15205	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS19480	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS21335	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS24060	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS03530	COG0626	E	Cystathionine beta-lyase/cystathionine gamma-synthase	Methionine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS06770	COG0626	E	Cystathionine beta-lyase/cystathionine gamma-synthase	Methionine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS10380	COG0626	E	Cystathionine beta-lyase/cystathionine gamma-synthase	Methionine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS22575	COG0626	E	Cystathionine beta-lyase/cystathionine gamma-synthase	Methionine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS23925	COG0626	E	Cystathionine beta-lyase/cystathionine gamma-synthase	Methionine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS08335	COG0627	V	S-formylglutathione hydrolase FrmB	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Defense mechanisms	FCFCAC
PP_RS03815	COG0628	R	Predicted PurR-regulated permease PerM	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS06400	COG0628	R	Predicted PurR-regulated permease PerM	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS08585	COG0628	R	Predicted PurR-regulated permease PerM	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS11445	COG0628	R	Predicted PurR-regulated permease PerM	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS21620	COG0628	R	Predicted PurR-regulated permease PerM	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS25315	COG0628	R	Predicted PurR-regulated permease PerM	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS02570	COG0629	L	Single-stranded DNA-binding protein	NA	1	INFORMATION STORAGE AND PROCESSING	1	Replication, recombination and repair	FCDCDC
PP_RS10855	COG0631	T	Serine/threonine protein phosphatase PrpC	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS06305	COG0632	L	Holliday junction resolvasome RuvABC DNA-binding subunit	NA	1	INFORMATION STORAGE AND PROCESSING	1	Replication, recombination and repair	FCDCDC
PP_RS01685	COG0633	C	Ferredoxin	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS04485	COG0633	C	Ferredoxin	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS04735	COG0633	C	Ferredoxin	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS06050	COG0633	C	Ferredoxin	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS10120	COG0633	C	Ferredoxin	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS13760	COG0633	C	Ferredoxin	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS16495	COG0633	C	Ferredoxin	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS16725	COG0633	C	Ferredoxin	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS17085	COG0633	C	Ferredoxin	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS19455	COG0633	C	Ferredoxin	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS27160	COG0633	C	Ferredoxin	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS03990	COG0634	F	Hypoxanthine-guanine phosphoribosyltransferase	Purine salvage	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS19675	COG0635	H	Coproporphyrinogen-III oxidase HemN  (oxygen-independent) or related Fe-S oxidoreductase	Heme biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS22140	COG0635	H	Coproporphyrinogen-III oxidase HemN  (oxygen-independent) or related Fe-S oxidoreductase	Heme biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS26585	COG0635	H	Coproporphyrinogen-III oxidase HemN  (oxygen-independent) or related Fe-S oxidoreductase	Heme biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS28235	COG0636	C	FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K	FoF1-type ATP synthase	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS10660	COG0637	G	Beta-phosphoglucomutase, HAD superfamily	NA	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS11215	COG0637	G	Beta-phosphoglucomutase, HAD superfamily	NA	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS11450	COG0637	G	Beta-phosphoglucomutase, HAD superfamily	NA	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS03105	COG0640	K	DNA-binding transcriptional regulator, ArsR family	NA	1	INFORMATION STORAGE AND PROCESSING	1	Transcription	FCDCEC
PP_RS04845	COG0640	K	DNA-binding transcriptional regulator, ArsR family	NA	1	INFORMATION STORAGE AND PROCESSING	1	Transcription	FCDCEC
PP_RS06495	COG0640	K	DNA-binding transcriptional regulator, ArsR family	NA	1	INFORMATION STORAGE AND PROCESSING	1	Transcription	FCDCEC
PP_RS09955	COG0640	K	DNA-binding transcriptional regulator, ArsR family	NA	1	INFORMATION STORAGE AND PROCESSING	1	Transcription	FCDCEC
PP_RS12970	COG0640	K	DNA-binding transcriptional regulator, ArsR family	NA	1	INFORMATION STORAGE AND PROCESSING	1	Transcription	FCDCEC
PP_RS14150	COG0640	K	DNA-binding transcriptional regulator, ArsR family	NA	1	INFORMATION STORAGE AND PROCESSING	1	Transcription	FCDCEC
PP_RS25915	COG0640	K	DNA-binding transcriptional regulator, ArsR family	NA	1	INFORMATION STORAGE AND PROCESSING	1	Transcription	FCDCEC
PP_RS18000	COG0641	O	Sulfatase maturation enzyme AslB, radical SAM superfamily	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS00155	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS01305	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS02820	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS04680	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS04750	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS05295	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS06145	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS07340	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS07420	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS08500	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS08710	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS09630	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS12245	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS12520	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS13875	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS13975	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS14130	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS15075	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS17560	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS17770	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS17960	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS19410	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS19560	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS19575	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS20640	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS21670	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS21930	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS23455	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS24955	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS28040	COG0642	T	Signal transduction histidine kinase	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS07690	COG0643	T	Chemotaxis protein histidine kinase CheA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS22525	COG0643	T	Chemotaxis protein histidine kinase CheA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS26025	COG0643	T	Chemotaxis protein histidine kinase CheA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS26025	COG0643	T	Chemotaxis protein histidine kinase CheA	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS18020	COG0644	C	Dehydrogenase (flavoprotein)	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS21825	COG0644	C	Dehydrogenase (flavoprotein)	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS24420	COG0645	R	Predicted kinase, contains AAA domain	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS12385	COG0646	E	Methionine synthase I (cobalamin-dependent), methyltransferase domain	Methionine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS21415	COG0649	C	NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)	NADH dehydrogenase	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS11545	COG0651	C	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS11545	COG0651	P	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS15060	COG0652	O	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS23655	COG0652	O	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS06955	COG0653	U	Preprotein translocase subunit SecA	Sec pathway	2	CELLULAR PROCESSES AND SIGNALING	2	Intracellular trafficking, secretion, and vesicular transport	9CFCAC
PP_RS16675	COG0654	H	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	Ubiquinone biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS16675	COG0654	C	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	Ubiquinone biosynthesis	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS18385	COG0654	H	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	Ubiquinone biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS18385	COG0654	C	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	Ubiquinone biosynthesis	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS20515	COG0654	H	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	Ubiquinone biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS20515	COG0654	C	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	Ubiquinone biosynthesis	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS27075	COG0654	H	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	Ubiquinone biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS27075	COG0654	C	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	Ubiquinone biosynthesis	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS27085	COG0654	H	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	Ubiquinone biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS27085	COG0654	C	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	Ubiquinone biosynthesis	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS08470	COG0655	C	Multimeric flavodoxin WrbA, includes NAD(P)H:quinone oxidoreductase	NA	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS12355	COG0656	Q	Aldo/keto reductase, related to diketogulonate reductase	NA	3	METABOLISM	3	Secondary metabolites biosynthesis, transport and catabolism	BCCCFC
PP_RS16270	COG0656	Q	Aldo/keto reductase, related to diketogulonate reductase	NA	3	METABOLISM	3	Secondary metabolites biosynthesis, transport and catabolism	BCCCFC
PP_RS16935	COG0656	Q	Aldo/keto reductase, related to diketogulonate reductase	NA	3	METABOLISM	3	Secondary metabolites biosynthesis, transport and catabolism	BCCCFC
PP_RS19060	COG0656	Q	Aldo/keto reductase, related to diketogulonate reductase	NA	3	METABOLISM	3	Secondary metabolites biosynthesis, transport and catabolism	BCCCFC
PP_RS19835	COG0657	I	Acetyl esterase/lipase	NA	3	METABOLISM	3	Lipid transport and metabolism	DCCCFC
PP_RS21900	COG0657	I	Acetyl esterase/lipase	NA	3	METABOLISM	3	Lipid transport and metabolism	DCCCFC
PP_RS09775	COG0658	U	DNA uptake channel protein ComEC, N-terminal domain	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Intracellular trafficking, secretion, and vesicular transport	9CFCAC
PP_RS00390	COG0659	P	Sulfate permease or related transporter, MFS superfamily, contains STAS domain	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS00515	COG0659	P	Sulfate permease or related transporter, MFS superfamily, contains STAS domain	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS03835	COG0659	P	Sulfate permease or related transporter, MFS superfamily, contains STAS domain	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS07260	COG0659	P	Sulfate permease or related transporter, MFS superfamily, contains STAS domain	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS21375	COG0659	P	Sulfate permease or related transporter, MFS superfamily, contains STAS domain	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS26150	COG0661	H	Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	Ubiquinone biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS26150	COG0661	T	Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	Ubiquinone biosynthesis	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS06615	COG0662	G	Mannose-6-phosphate isomerase, cupin superfamily	NA	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS09125	COG0662	G	Mannose-6-phosphate isomerase, cupin superfamily	NA	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS10755	COG0662	G	Mannose-6-phosphate isomerase, cupin superfamily	NA	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS16295	COG0662	G	Mannose-6-phosphate isomerase, cupin superfamily	NA	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS27460	COG0662	G	Mannose-6-phosphate isomerase, cupin superfamily	NA	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS00485	COG0663	R	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS07505	COG0663	R	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS17140	COG0663	R	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS17665	COG0663	R	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS02230	COG0664	T	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS16850	COG0664	T	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS17150	COG0664	T	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS22145	COG0664	T	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS27395	COG0664	T	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Signal transduction mechanisms	ECFCAC
PP_RS01720	COG0665	E	Glycine/D-amino acid oxidase (deaminating)	NA	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS03245	COG0665	E	Glycine/D-amino acid oxidase (deaminating)	NA	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS04625	COG0665	E	Glycine/D-amino acid oxidase (deaminating)	NA	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS06505	COG0665	E	Glycine/D-amino acid oxidase (deaminating)	NA	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
